
RECORDING STARTED
Push robot forward, then release.
Let it oscillate until it settles.

time_ms,pitch,pitchRate,angularAccel,accelPitch
997,-3.211,-12.322,-1352.138,3.844
1002,-3.123,-9.688,581.109,3.312
1006,-3.026,-7.696,447.924,3.422
1011,-2.926,-10.154,-552.611,4.190
1015,-2.818,-5.909,941.498,3.753
1019,-2.737,-11.719,-1306.016,3.825
1024,-2.649,-9.451,499.378,3.726
1028,-2.552,-7.894,348.534,3.967
1032,-2.454,-7.329,126.883,3.938
1038,-2.344,-6.077,281.454,4.353
1042,-2.221,-4.688,312.065,4.826
1046,-2.101,-6.062,-308.913,5.101
1051,-1.982,-5.627,97.472,5.107
1055,-1.870,-5.215,93.346,4.747
1059,-1.756,-5.741,-119.600,5.066
1064,-1.631,-4.383,305.481,5.426
1068,-1.524,-5.948,-349.930,5.029
1073,-1.413,-1.917,906.145,4.455
1078,-1.292,-2.619,-157.747,5.184
1082,-1.180,-5.680,-685.109,5.565
1087,-1.070,-3.093,578.664,5.013
1091,-0.955,-1.833,283.681,5.085
1095,-0.860,-1.802,6.865,4.167
1100,-0.737,0.228,467.865,5.237
1104,-0.616,-0.115,-77.647,5.332
1108,-0.491,0.198,70.938,5.623
1112,-0.375,-1.566,-402.226,5.607
1117,-0.270,-1.115,101.164,5.122
1122,-0.155,0.175,290.558,5.455
1126,-0.047,0.480,68.957,5.119
1131,0.081,3.892,781.184,5.521
1135,0.206,1.564,-527.229,6.034
1139,0.319,3.442,424.088,5.079
1144,0.456,3.343,-22.554,6.454
1148,0.599,5.198,421.966,6.476
1152,0.717,1.541,-827.260,6.161
1157,0.861,4.037,561.697,7.074
1161,0.990,5.610,356.096,6.094
1166,1.099,3.762,-419.085,5.600
1171,1.198,3.304,-103.436,5.320
1175,1.311,5.114,407.836,5.755
1179,1.435,6.251,255.942,6.145
1184,1.558,7.220,219.138,6.035
1188,1.685,8.885,376.839,6.005
1192,1.807,8.816,-15.543,5.861
1196,1.936,9.014,45.067,6.310
1201,2.053,9.014,0.000,5.851
1206,2.184,10.091,251.480,6.478
1210,2.311,10.602,114.881,6.245
1215,2.433,10.602,0.000,6.054
1219,2.547,12.587,459.429,5.468
1223,2.673,12.259,-73.269,6.184
1228,2.808,16.755,1010.832,5.749
1232,2.941,14.030,-604.523,6.371
1236,3.056,15.404,307.530,5.298
1241,3.154,13.411,-446.719,5.065
1245,3.280,16.373,661.714,5.821
1250,3.405,17.121,167.433,5.791
1255,3.514,17.579,102.602,5.029
1259,3.609,15.816,-396.082,4.784
1263,3.706,17.274,326.324,4.695
1268,3.805,17.686,92.341,4.807
1272,3.918,21.541,874.538,4.787
1277,4.011,20.862,-152.330,4.004
1281,4.098,19.304,-348.847,4.164
1285,4.188,21.312,447.733,3.885
1291,4.274,18.953,-526.984,4.339
1295,4.364,21.740,621.933,4.024
1299,4.463,24.159,543.054,4.006
1304,4.553,23.572,-132.027,3.846
1308,4.623,20.717,-638.980,3.517
1312,4.719,23.312,580.371,4.321
1317,4.810,26.114,627.582,3.547
1321,4.894,23.312,-627.582,3.907
1325,4.984,25.846,567.223,3.747
1330,5.080,28.724,643.529,3.484
1335,5.152,24.175,-1022.846,3.415
1340,5.226,26.136,434.418,3.074
1344,5.301,27.793,370.082,2.886
1348,5.369,27.060,-164.310,2.783
1353,5.441,30.991,881.457,2.201
1357,5.508,26.877,-917.597,2.879
1361,5.566,27.083,46.006,2.464
1366,5.632,31.167,926.490,2.140
1370,5.689,29.457,-382.362,1.988
1376,5.743,32.136,597.012,1.342
1380,5.776,28.885,-725.873,1.045
1384,5.809,28.427,-101.872,1.152
1389,5.840,32.106,819.828,0.336
1393,5.863,30.762,-302.320,0.282
1397,5.896,30.671,-20.484,0.786
1402,5.899,29.266,-316.062,-0.311
1406,5.936,31.144,418.046,0.860
1410,5.960,30.984,-35.976,0.399
1415,5.983,33.152,489.156,-0.085
1420,6.009,33.511,79.941,-0.114
1424,6.040,35.785,513.733,-0.197
1429,6.042,33.365,-542.566,-1.155
1433,6.047,33.930,125.642,-1.179
1438,6.040,36.114,486.454,-2.239
1442,6.035,35.564,-122.792,-2.018
1446,6.022,33.091,-552.565,-1.888
1451,6.001,34.289,266.802,-2.565
1455,5.964,34.823,119.381,-3.459
1459,5.933,36.388,350.243,-3.582
1465,5.902,35.022,-305.003,-3.303
1469,5.874,36.984,439.085,-3.596
