2.413
968156,2.805,-1.874,2.065,2.523
968160,2.795,0.545,2.186,2.876
968165,2.817,1.965,3.471,3.111
968169,2.817,1.087,2.611,2.980
968173,2.820,-0.409,3.027,2.758
968178,2.823,-0.455,3.099,2.755
968182,2.811,-1.897,2.643,2.527
968186,2.800,-1.203,2.506,2.620
968192,2.823,3.171,3.264,3.299
968196,2.822,0.782,2.586,2.939
968200,2.825,-1.340,3.281,2.624
968205,2.818,0.011,2.466,2.820
968209,2.806,-0.584,2.356,2.719
968213,2.794,-2.187,2.654,2.466
968218,2.806,2.126,2.934,3.125
968222,2.803,-1.332,2.979,2.603
968226,2.811,-1.806,3.585,2.540
968231,2.821,-1.233,3.554,2.636
968236,2.827,1.400,2.837,3.037
968240,2.833,-0.707,3.282,2.727
968245,2.830,1.545,2.345,3.062
968249,2.830,0.835,2.630,2.955
968253,2.835,0.126,3.052,2.854
968258,2.833,-0.142,2.767,2.812
968262,2.840,2.087,2.713,3.153
968266,2.856,1.713,3.312,3.113
968271,2.862,0.820,2.946,2.985
968275,2.855,0.713,2.361,2.962
968280,2.843,0.355,2.206,2.897
968285,2.844,0.690,2.741,2.948
968289,2.851,-0.058,3.185,2.842
968293,2.871,0.293,3.774,2.915
968298,2.877,1.064,2.941,3.036
968302,2.876,-0.019,2.854,2.873
968306,2.875,0.545,2.694,2.957
968311,2.862,-1.554,2.557,2.629
968315,2.860,-2.126,3.249,2.541
968320,2.862,2.293,2.463,3.206
968324,2.853,-0.737,2.559,2.742
968329,2.853,-0.142,2.876,2.832
968333,2.870,-0.012,3.713,2.868
968337,2.864,1.187,2.293,3.042
968342,2.850,0.309,2.126,2.896
968346,2.821,-0.623,1.505,2.727
968350,2.817,-1.241,2.929,2.631
968355,2.809,0.820,2.211,2.932
968359,2.808,0.126,2.753,2.827
968364,2.804,1.148,2.327,2.976
968369,2.791,1.026,1.966,2.945
968373,2.770,1.500,1.393,2.995
968377,2.773,1.126,2.677,2.942
968382,2.758,-2.867,2.663,2.328
968386,2.742,-1.821,2.364,2.469
968390,2.750,1.515,2.810,2.977
968395,2.745,0.530,2.370,2.824
968399,2.743,-0.890,2.851,2.610
968403,2.740,0.309,2.494,2.786
968409,2.735,-1.516,2.860,2.508
968413,2.707,-3.310,2.043,2.211
968417,2.704,1.927,2.139,2.993
968422,2.704,0.454,2.575,2.772
968426,2.692,-3.287,2.840,2.199
968430,2.698,2.225,2.517,3.032
968435,2.690,-1.226,2.562,2.506
968439,2.679,-1.707,2.494,2.423
968443,2.689,0.851,2.988,2.816
968449,2.705,1.347,3.198,2.907
968453,2.699,-2.348,2.939,2.347
968457,2.703,-0.058,2.900,2.694
968462,2.692,-0.126,2.186,2.673
968466,2.689,-1.386,2.830,2.481
968470,2.686,0.835,2.375,2.811
968475,2.696,-0.340,3.274,2.645
968479,2.702,0.568,2.871,2.787
968483,2.710,2.095,2.658,3.025
968488,2.706,-0.401,2.591,2.646
968493,2.712,-0.096,3.001,2.697
968497,2.716,0.431,2.807,2.780
968502,2.713,-2.424,3.113,2.349
968506,2.730,1.523,3.209,2.958
968510,2.739,-0.890,3.405,2.606
968515,2.727,-3.813,2.944,2.155
968519,2.745,2.164,3.175,3.070
968523,2.742,-0.997,2.789,2.592
968527,2.767,2.454,3.458,3.135
968532,2.784,-0.607,3.761,2.693
968537,2.811,1.759,3.728,3.074
968541,2.814,-0.394,3.071,2.755
968546,2.831,0.813,3.466,2.953
968550,2.832,-0.867,3.099,2.702
968554,2.824,-0.768,2.589,2.709
968559,2.801,-0.378,1.775,2.745
968563,2.805,-1.852,3.379,2.527
968567,2.792,-0.829,2.342,2.668
968572,2.806,0.935,3.306,2.947
968577,2.812,2.851,2.460,3.239
968581,2.806,-0.035,2.509,2.800
968586,2.814,1.584,2.871,3.051
968590,2.801,1.332,1.904,3.001
968594,2.811,1.179,3.008,2.987
968599,2.807,2.698,2.038,3.211
968603,2.805,0.981,2.527,2.952
968607,2.801,0.370,2.529,2.857
968612,2.796,0.118,2.482,2.813
968616,2.787,-0.012,2.377,2.785
968621,2.782,-1.653,2.867,2.534
968626,2.768,-2.378,2.603,2.411
968630,2.755,-0.668,2.307,2.655
968634,2.765,0.599,3.109,2.855
968639,2.754,1.370,1.909,2.959
968643,2.751,0.523,2.502,2.830
968647,2.743,-0.691,2.481,2.639
968652,2.740,1.439,2.274,2.955
968656,2.722,-2.623,2.431,2.329
968660,2.714,-1.882,2.744,2.432
968666,2.701,-0.287,2.096,2.658
968670,2.715,0.232,3.381,2.750
968674,2.707,-1.256,2.564,2.518
968679,2.710,0.255,2.801,2.748
968683,2.723,2.706,2.803,3.129
968687,2.727,1.393,2.619,2.936
968692,2.729,-2.745,3.414,2.318
968696,2.705,0.377,1.424,2.761
968700,2.711,0.690,2.867,2.815
968706,2.713,0.431,2.730,2.778
968710,2.695,-2.310,2.319,2.349
968714,2.694,-1.455,2.944,2.476
968719,2.699,0.629,2.793,2.793
968723,2.692,0.255,2.303,2.730
968727,2.678,-0.523,2.126,2.600
968731,2.668,-1.203,2.418,2.487
968736,2.678,1.606,2.821,2.919
968740,2.688,1.729,2.791,2.947
968744,2.692,1.034,2.660,2.847
968750,2.700,1.286,2.851,2.893
968754,2.697,-3.439,3.264,2.181
968758,2.705,-1.386,3.396,2.497
968763,2.673,-4.561,2.115,1.989
968767,2.681,0.080,3.041,2.693
968771,2.691,3.194,2.475,3.170
968776,2.691,0.797,2.548,2.811
968780,2.685,-1.287,2.673,2.492
968784,2.698,0.958,3.127,2.842
968790,2.701,0.629,2.702,2.796
968794,2.706,1.393,2.662,2.915
968798,2.698,-0.645,2.436,2.601
968803,2.701,-1.378,3.119,2.494
968807,2.682,-2.126,2.232,2.363
968811,2.678,-0.852,2.679,2.551
968816,2.678,1.019,2.443,2.831
968820,2.697,2.202,3.170,3.028
968824,2.711,0.614,3.239,2.803
968829,2.720,0.790,2.994,2.838
968834,2.729,0.034,3.163,2.734
968838,2.739,2.171,2.768,3.065
968843,2.738,-0.836,2.853,2.612
968847,2.742,1.309,2.642,2.938
968851,2.745,-0.409,3.011,2.684
968856,2.747,-1.165,3.062,2.572
968860,2.749,-0.638,3.010,2.653
968864,2.739,-2.287,2.740,2.396
968869,2.758,4.660,2.668,3.457
968873,2.765,1.446,2.799,2.982
968878,2.765,1.454,2.444,2.983
968883,2.763,-1.332,2.937,2.563
968887,2.771,1.347,2.900,2.973
968891,2.759,0.011,2.180,2.761
968896,2.768,1.393,2.901,2.977
968900,2.762,-0.226,2.516,2.728
968904,2.769,-2.058,3.538,2.460
968909,2.764,-1.470,2.858,2.544
968913,2.770,2.897,2.423,3.205
968918,2.770,-0.546,2.862,2.688
968923,2.768,-2.424,3.219,2.404
968927,2.756,1.095,1.950,2.921
968931,2.759,0.568,2.747,2.844
968935,2.750,0.271,2.262,2.791
968940,2.753,1.217,2.661,2.936
